course_id,learners_enrolled,status,error
noc26_ch75,877,OK,
noc26_ch76,715,OK,
noc26_ch77,235,OK,
noc26_ch78,3103,OK,
noc26_ch79,1321,OK,
noc26_ch80,241,OK,
noc26_ch81,712,OK,
noc26_ch82,65,OK,
noc26_ch83,93,OK,
noc26_ch84,106,OK,
noc26_ch85,166,OK,
noc26_ch86,111,OK,
noc26_ch87,162,OK,
noc26_ch88,265,OK,
noc26_ch89,738,OK,
noc26_ch90,109,OK,
noc26_ch91,53,OK,
noc26_ch92,279,OK,
noc26_ch93,125,OK,
noc26_ch94,112,OK,
noc26_ch95,139,OK,
noc26_ch96,138,OK,
noc26_ch97,109,OK,
noc26_ch98,99,OK,
noc26_ch99,115,OK,
noc26_cs100,233,OK,
noc26_cs101,929,OK,
noc26_cs102,2438,OK,
noc26_cs103,294,OK,
noc26_cs104,2885,OK,
noc26_cs105,1214,OK,
noc26_cs106,2427,OK,
noc26_cs107,17562,OK,
noc26_cs108,633,OK,
noc26_cs109,8548,OK,
noc26_cs110,1533,OK,
noc26_cs111,1310,OK,
noc26_cs112,6195,OK,
noc26_cs113,3667,OK,
noc26_cs114,1759,OK,
noc26_cs115,1287,OK,
noc26_cs116,214,OK,
noc26_cs117,8222,OK,
noc26_cs118,1334,OK,
noc26_cs119,6622,OK,
noc26_cs120,1993,OK,
noc26_cs121,291,OK,
noc26_cs122,286,OK,
noc26_cs123,4154,OK,
noc26_cs124,192,OK,
noc26_cs125,472,OK,
noc26_cs126,171,OK,
noc26_cs127,377,OK,
noc26_cs128,1385,OK,
noc26_cs129,7781,OK,
noc26_cs130,364,OK,
noc26_cs131,2306,OK,
noc26_cs132,3217,OK,
noc26_cs133,7256,OK,
noc26_cs134,2526,OK,
noc26_cs135,1308,OK,
noc26_cs136,10382,OK,
noc26_cs137,1117,OK,
noc26_cs138,5638,OK,
noc26_cs139,1568,OK,
noc26_cs140,798,OK,
noc26_cs141,7798,OK,
noc26_cs142,250,OK,
noc26_cs143,704,OK,
noc26_cs144,9964,OK,
noc26_cs145,3675,OK,
noc26_cs146,3570,OK,
noc26_cs147,92,OK,
noc26_cs148,75,OK,
noc26_cs149,137,OK,
noc26_cs150,19737,OK,
noc26_cs151,3916,OK,
noc26_cs152,2855,OK,
noc26_cs153,14161,OK,
noc26_cs154,228,OK,
noc26_cs155,2035,OK,
noc26_cs156,4673,OK,
noc26_cs157,10197,OK,
noc26_cs158,2230,OK,
noc26_cs159,2727,OK,
noc26_cs160,7932,OK,
noc26_cs161,23332,OK,
noc26_cs162,5547,OK,
noc26_cs163,480,OK,
noc26_cs164,504,OK,
noc26_cs165,228,OK,
noc26_cs166,2301,OK,
noc26_cs167,318,OK,
noc26_cs168,1311,OK,
noc26_cs169,1024,OK,
noc26_cs170,1202,OK,
noc26_cs171,5123,OK,
noc26_cs172,90,OK,
noc26_cs173,500,OK,
noc26_cs174,1882,OK,
noc26_cs175,950,OK,
noc26_cs176,729,OK,
noc26_cs177,3917,OK,
noc26_cs178,760,OK,
noc26_cs179,1879,OK,
noc26_cs180,4026,OK,
noc26_cs181,1940,OK,
noc26_cs182,5282,OK,
noc26_cs183,1631,OK,
noc26_cs184,498,OK,
noc26_cs185,1386,OK,
noc26_cs186,1008,OK,
noc26_cs187,284,OK,
noc26_cs188,3627,OK,
noc26_cs189,4715,OK,
noc26_cs90,536,OK,
noc26_cs91,637,OK,
noc26_cs92,259,OK,
noc26_cs93,237,OK,
noc26_cs94,129,OK,
noc26_cs95,4961,OK,
noc26_cs96,908,OK,
noc26_cs97,1964,OK,
noc26_cs98,2500,OK,
noc26_cs99,5726,OK,
noc26_cy41,102,OK,
